N,lambda1,lambda2,lambda3
1,,,
2,,,
3,6.185473632812499,15.4989013671875,28.073339740838854
4,6.89609375,15.500000858306885,28.07541503906559
5,6.175004959106444,15.271484375000002,28.977917480468747
6,6.49992065429924,15.613378852605818,28.500012969970705
7,6.990039062500001,15.528125,28.924423217773438
8,6.337499999962166,15.471875,28.07500028610229
9,6.742480468749995,15.5,28.49833984375
10,6.894841565939171,15.615878295898437,28.0
11,6.814822087809446,15.768235092124172,28.098242187498453
12,6.212000545350021,15.768235070205584,28.319679004101495
13,6.212000833917409,15.768235056740922,28.319679004751745
14,6.212000845410074,15.768235047994562,28.31967900729051
15,6.212000750331662,15.768235042493426,28.319679009594452
16,6.212000787304714,15.768235038466898,28.319679010608475
17,6.212000964372418,15.7682350357878,28.31967901121771
18,6.212000971319847,15.768235033900233,28.319679011820607
19,6.212000975571572,15.768235032396568,28.319679012075817
20,6.212000979144614,15.768235031374202,28.319679012325622
21,6.21200088537298,15.76823503054154,28.319679012494813
22,6.212000983289908,15.768235029931827,28.319679012643636
23,6.212000965875763,15.76823502944919,28.319679012773122
24,6.212000985711345,15.768235029069384,28.31967901282492
25,6.212000986388902,15.768235028735216,28.319679012910534
26,6.2120009885158645,15.768235028481364,28.31967901296504
27,6.212000988988878,15.768235028255443,28.319679013019346
28,6.212000989381339,15.768235028101662,28.319679013045246
29,6.212000989721855,15.76823502794046,28.31967901309163
30,6.212000989882654,15.76823502783809,28.319679013100906
31,6.212000995359857,15.76823502770794,28.31967901313183
32,6.212000995212656,15.768235027641637,28.319679013150285
33,6.21200099441332,15.768235027541774,28.31967901316353
34,6.212000994790596,15.768235027484476,28.31967901316662
35,6.21200099465932,15.768235027433729,28.319679013193284
36,6.2120009943383145,15.768235027366606,28.31967901319367
37,6.2120009943285615,15.768235027317493,28.31967901321532
38,6.212000994167465,15.768235027282707,28.319679013221503
39,6.212000993752462,15.768235027233132,28.31967901323368
40,6.212000993949914,15.768235027210672,28.31967901323928
41,6.212000993959372,15.768235027174242,28.319679013242954
42,6.212000993803526,15.768235027144012,28.319679013249527
43,6.212000993760739,15.768235027124213,28.319679013246237
44,6.21200099373177,15.768235027107126,28.319679013263247
45,6.212000993656696,15.768235027083492,28.31967901324933
46,6.212000993656693,15.768235027065789,28.31967901326266
47,6.2120009935408245,15.768235027038779,28.31967901325629
48,6.212000993505358,15.76823502703182,28.31967901326943
49,6.2120009931245646,15.768235027012791,28.319679013270978
50,6.212000993320907,15.768235026986698,28.319679013275614
51,6.212000993126994,15.768235026983731,28.31967901327407
52,6.21200099335948,15.76823502697657,28.31967901328335
53,6.212000993197943,15.768235026957333,28.31967901329262
54,6.212000993241673,15.768235026957333,28.31967901327716
55,6.212000993125825,15.768235026945057,28.31967901329108
56,6.2120009931176146,15.768235026935029,28.319679013284507
57,6.212000993197943,15.768235026931134,28.31967901328354
58,6.2120009931837545,15.76823502691477,28.319679013291847
59,6.212000993146216,15.768235026917994,28.31967901329069
60,6.212000993051342,15.768235026901571,28.31967901329842
61,6.212000993127298,15.768235026901726,28.31967901329069
62,6.212000993052515,15.768235026896763,28.319679013295712
63,6.212000993037145,15.768235026886938,28.31967901328953
64,6.212000992825431,15.768235026883666,28.319679013291847
65,6.212000992824628,15.768235026865657,28.319679013298806
66,6.212000992824323,15.768235026874251,28.319679013312722
67,6.212000992786488,15.768235026859724,28.31967901329262
68,6.2120009928798945,15.76823502686054,28.31967901330035
69,6.212000992943073,15.768235026858292,28.31967901329977
70,6.212000992975441,15.768235026850924,28.319679013308182
