N,lambda1,lambda2,lambda3
1,,,
2,,,
3,6.824365234372635,15.950012207787946,28.073339033126828
4,6.825,15.33125,28.72583312988281
5,6.5,15.162486267089847,28.498339850082992
6,6.499999689450487,15.950000214576717,28.5
7,6.6675781249999995,15.500000000006548,28.2875
8,6.984375000000001,15.78114013682352,28.546484375
9,6.825000000001182,15.315896397735925,28.340625000000003
10,6.2120001929443065,15.55614013671875,28.49673156738281
11,6.212000452219217,15.436608885042343,28.0
12,6.212000545463526,15.768235070182662,28.31967899608137
13,6.212000783814437,15.768235056349656,28.319679003514832
14,6.2120007011923,15.76823504804674,28.31967900729312
15,6.212000750604783,15.768235042440935,28.319679009298074
16,6.2120007873035314,15.768235038333476,28.319679010441156
17,6.212000816460114,15.768235035794348,28.3196790112181
18,6.212000971338783,15.768235033884885,28.31967901172213
19,6.212000975570982,15.76823503239616,28.319679012075813
20,6.212000872827284,15.768235031380751,28.319679012309283
21,6.212000885241738,15.768235030541744,28.319679012519746
22,6.212000961951283,15.768235029930496,28.319679012664892
23,6.212000984670884,15.768235029442437,28.319679012760755
24,6.212000985710754,15.76823502906918,28.319679012841156
25,6.2120009878680875,15.768235028735216,28.319679012927935
26,6.2120009743561235,15.768235028496303,28.319679012965036
27,6.212000989040824,15.76823502828297,28.319679013019538
28,6.212000989376611,15.768235028086519,28.319679013057613
29,6.212000989549833,15.768235027952787,28.319679013072683
30,6.212000990126215,15.76823502783809,28.319679013100906
31,6.212000995359267,15.76823502770712,28.31967901313183
32,6.212000994545815,15.768235027628744,28.31967901315077
33,6.212000995075801,15.76823502756316,28.31967901316275
34,6.212000994791151,15.768235027482838,28.319679013174145
35,6.212000994640403,15.76823502743291,28.31967901319406
36,6.212000994347182,15.768235027366606,28.31967901319676
37,6.21200099431868,15.768235027317493,28.319679013208358
38,6.212000994158007,15.768235027282707,28.319679013221503
39,6.212000993873948,15.76823502724587,28.319679013217637
40,6.212000993746697,15.768235027215994,28.31967901323928
41,6.21200099382695,15.768235027179976,28.31967901324237
42,6.212000993732363,15.768235027144012,28.31967901323851
43,6.212000993510083,15.768235027124213,28.319679013249235
44,6.212000993806851,15.768235027105082,28.3196790132617
45,6.212000993656693,15.76823502708216,28.31967901326209
46,6.212000993612946,15.768235027065789,28.319679013263247
47,6.2120009935408245,15.768235027039188,28.319679013258607
48,6.212000993429054,15.768235027033457,28.31967901326402
49,6.21200099341047,15.76823502701136,28.31967901327639
50,6.212000993370713,15.768235026986698,28.319679013275614
51,6.212000993386233,15.768235026983424,28.319679013275806
52,6.212000993325637,15.768235026978667,28.319679013285857
53,6.21200099322161,15.768235026957333,28.31967901329262
54,6.212000993240508,15.76823502695815,28.319679013290305
55,6.212000992985121,15.768235026944238,28.319679013291076
56,6.212000993117617,15.76823502693421,28.31967901328644
57,6.212000993197943,15.768235026927456,28.319679013294166
58,6.212000993036959,15.768235026913953,28.319679013284507
59,6.212000993126984,15.768235026913132,28.319679013287214
60,6.212000992995761,15.768235026899987,28.319679013292625
61,6.212000993053697,15.768235026901724,28.319679013297357
62,6.212000993051295,15.76823502689441,28.31967901329861
63,6.212000992971081,15.76823502688704,28.319679013311177
64,6.212000993086804,15.768235026883666,28.31967901328953
65,6.212000992710818,15.768235026869341,28.31967901330171
66,6.212000992947287,15.768235026875685,28.31967901329262
67,6.212000992637513,15.768235026859006,28.319679013302675
68,6.212000992873982,15.76823502686054,28.31967901330035
69,6.212000992941379,15.768235026858292,28.319679013314854
70,6.212000992748653,15.768235026850924,28.31967901330538
71,6.212000992833781,15.768235026844376,28.319679013300934
