N,lambda1,lambda2,lambda3
1,,,
2,,,
3,6.738671875,15.5140625,28.711669947206587
4,6.819287109375001,15.506976318359376,28.15000000027939
5,6.49873046875,15.723242187499999,28.393750000000004
6,6.4796875,15.317187714576722,28.149999713897703
7,6.824999999848661,15.555371093749999,28.52645863890648
8,6.48968505859375,15.781249999999998,28.037500143051147
9,6.235798645019531,15.938961791992181,28.07499999999986
10,6.232204067706993,15.640625,28.07500114440918
11,6.78272377040762,15.661718535436785,28.598364257762928
12,6.212000550448284,15.768235069629736,28.31967899631909
13,6.2120006574173035,15.76823505640245,28.319679003136798
14,6.212000700946374,15.768235048205131,28.31967900739255
15,6.212000750339939,15.768235042493426,28.319679009297396
16,6.212000787569558,15.768235038538112,28.319679010497204
17,6.212000964523832,15.768235035794348,28.31967901125704
18,6.212000971788074,15.768235033770903,28.31967901164291
19,6.212000975571572,15.768235032396568,28.319679012167036
20,6.2120009790145545,15.768235031335733,28.31967901232011
21,6.212000956881092,15.76823503054123,28.319679012512594
22,6.212000961898957,15.76823502993193,28.31967901265253
23,6.212000984426286,15.768235029448986,28.319679012760755
24,6.212000985716075,15.76823502906918,28.31967901283651
25,6.212000986392228,15.768235028740026,28.3196790129058
26,6.212000988300658,15.768235028484739,28.319679012964844
27,6.212000995548442,15.76823502825391,28.319679013002144
28,6.212000989495214,15.768235028086927,28.31967901304911
29,6.2120009897218464,15.768235027947775,28.319679013071525
30,6.212000989840163,15.768235027825401,28.31967901310245
31,6.2120009953598565,15.76823502770794,28.31967901313183
32,6.212000995283597,15.768235027628744,28.31967901315038
33,6.212000994791742,15.768235027537273,28.31967901316971
34,6.212000994602567,15.768235027484476,28.319679013162755
35,6.212000994186383,15.76823502742145,28.319679013193287
36,6.212000994572123,15.768235027366606,28.31967901319676
37,6.212000994110713,15.768235027317493,28.319679013215904
38,6.212000994167448,15.768235027297745,28.319679013221506
39,6.212000994053664,15.76823502723267,28.319679013215225
40,6.212000993127003,15.768235027209444,28.31967901323928
41,6.212000993732363,15.768235027173528,28.319679013236964
42,6.212000993810766,15.768235027143962,28.319679013238506
43,6.21200099378676,15.768235027118177,28.319679013249235
44,6.212000993650777,15.768235027106103,28.319679013264796
45,6.212000993656693,15.768235027066199,28.319679013252426
46,6.212000993202673,15.768235027065789,28.3196790132648
47,6.212000993505354,15.768235027039289,28.319679013255712
48,6.212000993505358,15.76823502703182,28.31967901326383
49,6.2120009934687,15.768235027012995,28.319679013270978
50,6.212000993391331,15.768235026990892,28.319679013275614
51,6.212000993381945,15.768235026983731,28.319679013267887
52,6.212000993349283,15.76823502697657,28.319679013281796
53,6.21200099318346,15.768235026962245,28.319679013286052
54,6.2120009932385125,15.768235026950475,28.31967901328199
55,6.212000993145624,15.768235026945057,28.319679013291076
56,6.212000993127225,15.768235026933596,28.3196790132818
57,6.2120009928621664,15.768235026927252,28.319679013300345
58,6.212000993015861,15.545593142694907,28.31967901329262
59,6.212000993117552,15.768235026916102,28.319679013285665
60,6.2120009930513325,15.768235026896761,28.319679013287598
61,6.212000992973298,15.768235026901726,28.319679013297453
62,6.212000993127003,15.76823502689441,28.31967901329861
63,6.212000992937819,15.768235026886629,28.31967901328953
64,6.212000993051407,15.768235026883666,28.31967901328953
65,6.212000992937827,15.76823502686893,28.319679013298902
66,6.212000992672984,15.768235026874253,28.319679013290695
67,6.212000992805406,15.76823502686791,28.31967901330499
68,6.2120009925482265,15.768235026861461,28.319679013301126
69,6.212000993127003,15.768235026858292,28.319679013306725
70,6.212000992966056,15.768235026858903,28.31967901330306
